Result Date,Numbers,Bonus Number,Prize,Rollover
2012-Jun-01 Friday,"['4', '7', '13', '24', '26', '27', '43']",41,"32,063,232.80",True
2012-May-25 Friday,"['1', '2', '3', '6', '12', '20', '41']",10,"27,000,000",True
2012-May-18 Friday,"['3', '4', '13', '15', '21', '29', '48']",26,"50,000,000",False
2012-May-11 Friday,"['1', '6', '7', '24', '31', '36', '39']",26,"50,000,000",True
2012-May-04 Friday,"['3', '5', '6', '25', '37', '43', '45']",21,"50,000,000",True
2012-Apr-27 Friday,"['3', '23', '28', '40', '42', '43', '45']",17,"30,000,000",True
2012-Apr-20 Friday,"['14', '15', '16', '19', '30', '36', '46']",42,"20,000,000",True
2012-Apr-13 Friday,"['2', '6', '11', '12', '16', '39', '45']",3,"10,000,000",True
2012-Apr-06 Friday,"['15', '18', '19', '25', '32', '42', '49']",43,"30,000,000",False
2012-Mar-30 Friday,"['3', '11', '12', '19', '35', '45', '47']",13,"20,000,000",True
2012-Mar-23 Friday,"['6', '18', '21', '23', '24', '32', '48']",47,"50,000,000",False
2012-Mar-16 Friday,"['5', '7', '18', '24', '28', '41', '49']",26,"50,000,000",True
2012-Mar-09 Friday,"['7', '18', '19', '29', '39', '47', '48']",32,"40,000,000",True
2012-Mar-02 Friday,"['4', '13', '14', '15', '34', '46', '47']",49,"30,000,000",True
2012-Feb-24 Friday,"['6', '17', '23', '24', '25', '31', '38']",7,"20,000,000",True
2012-Feb-17 Friday,"['1', '15', '26', '28', '31', '39', '49']",18,"10,000,000",True
2012-Feb-10 Friday,"['1', '5', '25', '35', '38', '44', '47']",39,"15,000,000",False
2012-Feb-03 Friday,"['2', '8', '12', '14', '33', '37', '47']",46,"50,000,000",False
2012-Jan-27 Friday,"['8', '24', '28', '34', '37', '43', '45']",21,"50,000,000",True
2012-Jan-20 Friday,"['9', '15', '21', '23', '41', '43', '44']",46,"30,000,000",True
2012-Jan-13 Friday,"['6', '15', '18', '26', '41', '46', '48']",27,"21,000,000",True
2012-Jan-06 Friday,"['1', '2', '8', '13', '22', '45', '46']",48,"16,000,000",True
2013-Dec-27 Friday,"['1', '6', '9', '11', '17', '37', '39']",32,"41,000,000",True
2013-Dec-20 Friday,"['2', '13', '18', '24', '27', '37', '43']",14,"50,000,000",False
